subject,legal_name,ticker,metric_key,metric_zh,year,value,unit
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,gross_margin,毛利率,2025,59.53%,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,operating_income,经营利润/营业利润,2023,-96,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,operating_income,经营利润/营业利润,2024,-1,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,operating_income,经营利润/营业利润,2025,4,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,operating_margin,经营利润率,2023,-1.96%,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,operating_margin,经营利润率,2024,-0.02%,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,operating_margin,经营利润率,2025,0.07%,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,net_income,净利润/股东应占利润,2023,-52,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,net_income,净利润/股东应占利润,2024,6,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,net_income,净利润/股东应占利润,2025,-25,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,ebitda,EBITDA,2023,787,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,ebitda,EBITDA,2024,904,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,ebitda,EBITDA,2025,928,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,ebitda_margin,EBITDA率,2023,16.07%,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,ebitda_margin,EBITDA率,2024,19.47%,millions HKD
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,ebitda_margin,EBITDA率,2025,17.03%,millions HKD
